City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,morelos,18.75,-99.0,298.04,23,0,2.0,MX,1708693179
121,kalmunai,7.4167,81.8167,298.68,79,100,0.23,LK,1708735679
122,greensburg,40.3015,-79.5389,281.36,82,100,4.63,US,1708689691
123,fale old settlement,-9.3852,-171.2468,302.26,73,20,3.4,TK,1708795719
124,eenhana,-17.4667,16.3333,298.44,32,92,1.72,NA,1708750339
125,puerto natales,-51.7236,-72.4875,279.64,89,98,2.11,CL,1708682790
126,wewak,-3.5534,143.6268,298.65,91,100,2.63,PG,1708720392
127,east london,-33.0153,27.9116,297.17,76,86,3.26,ZA,1708746738
128,gadzhiyevo,69.2551,33.3362,274.46,85,100,9.42,RU,1708753017
129,praia da vitoria,38.7333,-27.0667,288.01,82,20,3.02,PT,1708763323
130,zheleznogorsk-ilimskiy,56.5768,104.1217,249.7,96,100,2.53,RU,1708733475
131,karratha,-20.7377,116.8463,304.12,65,70,7.37,AU,1708726053
132,nouadhibou,20.931,-17.0347,292.14,72,33,11.83,MR,1708759975
133,uyuni,-20.4597,-66.825,287.25,50,67,5.65,BO,1708683735
134,georgetown,5.4112,100.3354,303.12,75,20,3.6,MY,1708731152
135,lerwick,60.1545,-1.1494,279.15,80,87,4.32,GB,1708759207
136,rongelap,11.1635,166.8941,299.21,79,100,9.85,MH,1708715423
137,igarka,67.4667,86.5833,251.25,97,95,5.03,RU,1708739733
138,longyearbyen,78.2186,15.6401,269.06,80,75,1.54,SJ,1708763038
139,alofi,-19.0595,-169.9187,303.09,79,20,3.6,NU,1708708553
140,flying fish cove,-10.4217,105.6791,301.97,78,40,3.09,CX,1708729207
141,yuzhno-kurilsk,44.0306,145.8556,266.03,58,68,5.32,RU,1708722234
142,guerrero negro,27.9769,-114.0611,292.84,53,0,4.98,MX,1708697239
143,marka,1.7159,44.7717,299.01,75,97,7.35,SO,1708744333
144,college,64.8569,-147.8028,271.33,53,75,3.09,US,1708709008
145,arkhangel'sk,64.5401,40.5433,273.21,100,100,4.0,RU,1708750034
146,gubkin,51.2817,37.5458,273.36,98,57,5.48,RU,1708748826
147,olinda,-8.0089,-34.8553,302.0,74,40,5.66,BR,1708676636
148,americo brasiliense,-21.7244,-48.1017,296.7,72,100,1.71,BR,1708679177
149,nova sintra,14.8667,-24.7167,293.92,69,100,6.87,CV,1708761552
150,kingston,17.997,-76.7936,298.68,61,20,5.14,JM,1708687818
151,singaparna,-7.3515,108.111,301.25,74,91,0.29,ID,1708728755
152,bacacay,13.2934,123.7919,299.93,79,94,4.84,PH,1708725855
153,bam,29.106,58.357,284.1,25,0,1.78,IR,1708742287
154,fish town,5.1964,-7.8756,297.34,91,100,1.56,LR,1708757109
155,saldanha,-33.0117,17.9442,288.18,85,50,1.22,ZA,1708749132
156,pacific grove,36.6177,-121.9166,293.12,75,98,0.45,US,1708699611
157,mount gambier,-37.8333,140.7667,294.46,40,8,3.35,AU,1708719317
158,cockburn town,21.4612,-71.1419,297.49,62,0,5.31,TC,1708686622
159,constantia,44.1833,28.65,281.53,94,99,5.4,RO,1708750343
160,kourou,5.1552,-52.6478,300.18,85,5,3.73,GF,1708681467
161,corner brook,48.9667,-57.9484,273.24,95,100,1.71,CA,1708685208
162,pijijiapan,15.7011,-93.23,296.01,81,0,1.5,MX,1708691658
163,christchurch,-43.5333,172.6333,300.32,40,90,5.66,NZ,1708711221
164,akureyri,65.6835,-18.0878,272.11,93,100,6.69,IS,1708764329
165,necochea,-38.5473,-58.7368,289.82,57,83,6.3,AR,1708680718
166,ballina,-28.8667,153.5667,299.7,73,100,1.13,AU,1708716810
167,sakakah,29.9697,40.2064,287.91,53,100,1.29,SA,1708746685
168,camalu,30.85,-116.0667,291.85,64,0,2.77,MX,1708697873
169,navojoa,27.1,-109.4333,295.9,37,100,3.68,MX,1708696084
170,labrador city,52.9463,-66.9114,263.1,79,100,5.66,CA,1708687761
171,mokameh,25.4,85.9167,288.8,20,10,1.4,IN,1708735491
172,olonkinbyen,70.9221,-8.7187,270.66,89,100,12.8,SJ,1708763676
